word,label
kow,kow
labo,labo
laba,laba
sadex,sadex
afar,afar
shan,shan
lix,lix
todobo,todobo
sideed,sideed
sagaal,sagaal
toban,toban
labaatan,labaatan
sodan,sodan
afartan,afartan
kontan,kontan
lixdan,lixdan
todobaatan,todobaatan
sideetan,sideetan
sagaashan,sagaashan
boqol,boqol
kun,kun
milyan,milyan
sodonaad,sodonaad
bilyan,bilyan
kumaad,kumaad
boqolaad,boqolaad
afartanaad,afartanaad
shanaad,shanaad
lixaad,lixaad
sideedaad,sideedaad
sideetanaad,sideetanaad
sagaashanaad,sagaashanaad
todobaad,todobaad
tobnaad,tobnaad
milyanaad,milyanaad
sagaalaad,sagaalaad
