word,label
hanad,hanad
maqnaan,maqan
meelmarsan,meelmar
dayuuradaha,dayuurad
giddi,giddi
careysan,caro
sannadeed,sannad
uun,uun
faxsharan,faxshar
illaacdo,illaac
awstaraali,awstaraal
meeldhexaad,meel
soojeed,soojeed
qaab daran,qaab
qaabdaran,qaab
xun,xun
bidaarle,bidaar
dhuuban,dhuub
qaawan,qaawan
kubadda,kubad
kolayga,kol
shukumaanka,shukumaan
xeebta,xeeb
filsan,fil
wanaagsan,wanaag
uguwanaagsan,uguwanaag
ka wanaagsan,ka wanaag
kawanaagsan,kawanaag
weyn,weyn
madow,madow
faaruq,faaruq
timacad,timacad
buluug,buluug
dhiirran,dhiir
farwaaweyn,farwaaw
khaati,khaati
khatiyaan,khati
labadaba,labo
geesi,gees
dhalaal,dhal
baxsan,bax
calanwallee,calanwal
calanwalee,calanwal
ballaaran,ballaar
balaaran,balaar
balaadhan,balaad
xaafada,xaafo
xaafadaha,xaafad
hawlan,hawl
deggan,deg
sawirka,sawir
makiinadda,makiinad
yar,yar
feejignan,feeji
sugan,sug
doorsooma,doors
jaban,jaban
ciyaalnimo,ciyaal
kulul,kulul
qallalan,qallal
meegaarsan,meegaar
nadiif,nadiif
bayaan,bayaan
caqlilow,caqlil
u dhow,u dh
udhow,udh
xiran,xiran
cadar,cadar
sawaaxil,sawaaq
qarqar,qarqar
qadhqadh,qadh
qabow,qab
midabeysan,midab
raaxo leh,raaxo 
raaxoleh,raaxo
guud,guud
dhammaday,dhammad
dhamaday,dhamad
laban,laban
welwelsan,welwel
miyirqab,miyir
miyirqaba,miyirqa
harqaboobe,harqaboob
hadhqaboobe,hadhqaboob
hagaag,hagaag
bixiye,bixi
lammaan,lammaan
lamaan,lamaan
dhiirran,dhiir
dhiiran,dhiir
waalan,waal
gardiid,gardiid
qalloocan,qallooc
qaloocan,qalo
beeraha,beer
cadhaysan,cadho
cammiran,cammiir
camiran,camir
manaxe,manax
xogogal,xogogal
