word,label
aslan,aslan
barihore,bari
markii,mar
keli,keli
qeladhaamin,qeladhaam
durba,dur
wada,wadal
mar,mar
badan,badan
fogaan,fogaan
geesinnimo,geesi
kuurgal,kuur
run,run
ugu,ugu
nasiib,nasiib
guud,guud
tartiib,tartiib
halkan,hal
goortiiba,goor
meeshii,meeshi
dabadeedna,dabad
beryahan,beri
hadhow,hadh
dhimman,dhimman
malaha,male
misana,misa
badan,badan
aad,aad
soke,sok
dirqi,dirqi
midna,mid
abid,abid
shanqarin,shanqar
aan,adeeg
hadda,had
beryahan,ber
meelna,meel
mar,mar
aalaa,aal
keliya,keli
dibad,dibad
dalka,dal
malaha,ma
mindhaa,mindhaa
xallad,xall
hal,hal
xasiloon,xasiloon
inta,intax
run,run
joogto,joog
tan,tan
dhif,dhif
dhinac,dhinac
aayar,aayar
si,si
mar,mar
mar,mar
si,si
dabadeed,dabad
halkaa,hal
saas,saas
wadajir,wada
mar,mar
hooseysa,hoos
dabaqa,dabaq
aad,aad
waayo,waa 
darnaan,daran
aadyar,aadyar
aal,aal
aayar,aayar
abbaato,ab
amminka,ammin
awo,awo
bacdi,bacdi
berri,berri
caawa,caawa
dar,dar
daraad,dar
dib,dib
durba,dur
durbadiiba,dur
fiidnimo,fiid
galabnimo,galab
habeennimo,habeen
imminka,immin
laballabo,laballab
marwalleys,marwal
qaflad,qaflad
qunyar,qun
shalay,shalay
shalayto,shalay
aan,adeeg
tarabtarab,tarab
kaddib,kaddib
kahor,kahor
meeldhexe,mldh
sokow,sokow
weli,wel
dirqi,dirqi
